,location,total_sqft,bath,balcony,price,bhk
0,Electronic City Phase II,1056.0,2.0,1,3907000.0,2.0
1,Chikka Tirupathi,2600.0,5.0,3,12000000.0,4.0
2,Uttarahalli,1440.0,2.0,3,6200000.0,3.0
3,Lingadheeranahalli,1521.0,3.0,1,9500000.0,3.0
4,Kothanur,1200.0,2.0,1,5100000.0,2.0
5,Whitefield,1170.0,2.0,1,3800000.0,2.0
6,Old Airport Road,2732.0,4.0,1,20400000.0,4.0
7,Rajaji Nagar,3300.0,4.0,1,60000000.0,4.0
8,Marathahalli,1310.0,3.0,1,6325000.0,3.0
9,Gandhi Bazar,1020.0,6.0,1,37000000.0,6.0
10,Whitefield,1800.0,2.0,2,7000000.0,3.0
11,Whitefield,2785.0,5.0,3,29500000.0,4.0
12,7th Phase JP Nagar,1000.0,2.0,1,3800000.0,2.0
13,Gottigere,1100.0,2.0,2,4000000.0,2.0
14,Sarjapur,2250.0,3.0,2,14800000.0,3.0
15,Mysore Road,1175.0,2.0,2,7350000.0,2.0
16,Bisuvanahalli,1180.0,3.0,2,4800000.0,3.0
17,Raja Rajeshwari Nagar,1540.0,3.0,3,6000000.0,3.0
18,Ramakrishnappa Layout,2770.0,4.0,2,29000000.0,3.0
19,Manayata Tech Park,1100.0,2.0,2,4800000.0,2.0
20,Kengeri,600.0,1.0,1,1500000.0,1.0
21,Binny Pete,1755.0,3.0,1,12200000.0,3.0
22,Thanisandra,2800.0,5.0,2,38000000.0,4.0
23,Bellandur,1767.0,3.0,1,10300000.0,3.0
24,Thanisandra,510.0,1.0,0,2525000.0,1.0
25,Mangammanapalya,1250.0,3.0,2,5600000.0,3.0
26,Electronic City,660.0,1.0,1,2310000.0,2.0
27,Whitefield,1610.0,3.0,2,8100000.0,3.0
28,Ramagondanahalli,1151.0,2.0,2,4877000.0,2.0
29,Electronic City,1025.0,2.0,1,4700000.0,3.0
30,Yelahanka,2100.0,4.0,0,18600000.0,4.0
31,Bisuvanahalli,1075.0,2.0,1,3500000.0,3.0
32,Hebbal,1760.0,2.0,2,12300000.0,3.0
33,Raja Rajeshwari Nagar,1693.0,3.0,3,5739000.0,3.0
34,Kasturi Nagar,1925.0,3.0,1,12500000.0,3.0
35,Kanakpura Road,700.0,2.0,1,3600000.0,2.0
36,Electronics City Phase 1,1070.0,2.0,1,4550000.0,2.0
37,Kundalahalli,1724.0,3.0,2,12500000.0,3.0
38,Chikkalasandra,1290.0,2.0,2,5612000.0,3.0
39,Uttarahalli,1143.0,2.0,2,4500000.0,2.0
40,Murugeshpalya,1296.0,2.0,1,8100000.0,2.0
41,Sarjapur  Road,1254.0,3.0,2,3800000.0,3.0
42,Ganga Nagar,600.0,1.0,0,3800000.0,1.0
43,Yelahanka,660.0,1.0,0,4800000.0,1.0
44,Kanakpura Road,1330.74,2.0,2,9179000.0,2.0
45,HSR Layout,600.0,9.0,1,20000000.0,8.0
46,Doddathoguru,970.0,2.0,0,3300000.0,2.0
47,Whitefield,1459.0,2.0,1,9482000.0,2.0
48,KR Puram,800.0,1.0,1,13000000.0,2.0
49,Himagiri Meadows,869.0,2.0,1,3600000.0,2.0
50,Adarsh Nagar,1270.0,2.0,1,5000000.0,2.0
51,Bhoganhalli,1670.0,3.0,1,9900000.0,3.0
52,Whitefield,2010.0,3.0,2,9100000.0,3.0
53,Lakshminarayana Pura,1185.0,2.0,2,7500000.0,2.0
54,Yelahanka,1600.0,2.0,3,7500000.0,3.0
55,Begur Road,1200.0,2.0,2,4400000.0,2.0
56,Devanahalli,3010.0,2.6926096474673513,1,19200000.0,4.0
57,Ramakrishnappa Layout,1500.0,2.0,2,18500000.0,2.0
58,Murugeshpalya,1407.0,4.0,1,15000000.0,6.0
59,Govindaraja Nagar Ward,840.0,2.0,2,4500000.0,2.0
60,Tharabanahalli,4395.0,3.0,2,24000000.0,3.0
61,Ganga Nagar,845.0,2.0,1,5500000.0,2.0
62,Whitefield,5700.0,5.0,3,65000000.0,4.0
63,Varthur,1160.0,2.0,2,4400000.0,2.0
64,Bommanahalli,3000.0,8.0,0,14000000.0,8.0
65,Doddathoguru,1100.0,2.0,1,6200000.0,2.0
66,Gunjur,1140.0,2.0,3,4300000.0,2.0
67,Marathahalli,1220.0,2.0,1,5700000.0,2.0
68,Devarachikkanahalli,1350.0,7.0,0,8500000.0,8.0
69,Kanakpura Road,1005.0,2.0,1,3668000.0,2.0
70,Double Road,500.0,3.0,2,10000000.0,3.0
71,Begur Road,1358.0,2.0,1,8058000.0,2.0
72,Hegde Nagar,1569.0,3.0,1,10100000.0,3.0
73,Haralur Road,1240.0,2.0,1,7000000.0,2.0
74,Hennur Road,2089.0,3.0,2,14000000.0,3.0
75,Kothannur,1206.0,2.0,1,4823000.0,2.0
76,Kalena Agrahara,1150.0,2.0,3,4000000.0,2.0
77,Cholanayakanahalli,2511.0,3.0,3,20500000.0,3.0
78,Kaval Byrasandra,460.0,1.0,0,2200000.0,2.0
79,ISRO Layout,4400.0,6.0,3,25000000.0,6.0
80,Kodanda Reddy Layout,1660.0,2.0,2,10500000.0,3.0
81,Hennur Road,2957.0,2.6926096474673513,1,22450000.0,4.0
82,Yelahanka,1326.0,2.0,2,7800000.0,2.0
83,Garudachar Palya,1325.0,2.0,2,6080000.0,3.0
84,EPIP Zone,1499.0,5.0,2,10200000.0,3.0
85,Hegde Nagar,3000.0,7.0,2,21000000.0,6.0
86,Kanakpura Road,1665.0,3.0,2,8800000.0,3.0
87,Dasanapura,708.0,2.0,2,3700000.0,2.0
88,Kasavanhalli,1060.0,2.0,2,5806000.0,2.0
89,Rajaji Nagar,710.0,6.0,3,16000000.0,6.0
90,Sanjay nagar,1000.0,2.0,2,7000000.0,2.0
91,Electronic City,1000.0,2.0,1,2888000.0,2.0
92,Mysore Highway,1450.0,2.0,2,7000000.0,3.0
93,ISRO Layout,1200.0,4.0,2,15500000.0,4.0
94,Thanisandra,1296.0,2.0,3,8000000.0,2.0
95,Domlur,1540.0,3.0,2,9000000.0,3.0
96,Kengeri,2894.0,4.0,1,24500000.0,4.0
97,Sarjapura - Attibele Road,1330.0,2.0,1,4800000.0,3.0
98,Devasthanagalu,1200.0,2.0,1,6500000.0,2.0
99,T Dasarahalli,1200.0,3.0,1,9000000.0,3.0
100,Yeshwanthpur,2502.0,3.0,3,13800000.0,3.0
101,Chandapura,650.0,1.0,1,1700000.0,2.0
102,Kothanur,2400.0,2.0,1,15000000.0,3.0
103,Green View Layout,1007.0,2.0,2,4300000.0,2.0
104,Shantiniketan Layout,1200.0,2.0,2,5000000.0,2.0
105,Peenya,966.0,2.0,2,4990000.0,2.0
106,Nagarbhavi,1630.0,2.0,1,9800000.0,3.0
107,Rajaji Nagar,1640.0,3.0,2,22900000.0,3.0
108,Jalahalli West,782.0,2.0,2,5568000.0,2.0
109,Devanahalli,1260.0,2.0,2,6678000.0,2.0
110,Lakshmiamma Garden,1800.0,3.0,3,12000000.0,3.0
111,Byatarayanapura,1413.0,2.0,2,7500000.0,3.0
112,Whitefield,1116.0,2.0,1,5191000.0,2.0
113,Electronic City,1530.0,2.0,1,4590000.0,3.0
114,Ramamurthy Nagar,3700.0,4.0,1,22500000.0,4.0
115,Sarjapur  Road,2497.0,3.0,2,14000000.0,3.0
116,Kengeri,1540.0,2.0,3,6400000.0,3.0
117,Thanisandra,1436.0,3.0,1,7475000.0,3.0
118,Malleshwaram,1100.0,2.0,2,7500000.0,2.0
119,Hennur Road,276.0,3.0,3,2300000.0,2.0
120,Thanisandra,1427.0,3.0,2,12000000.0,3.0
121,Akshaya Nagar,2061.0,3.0,1,20000000.0,3.0
122,Hebbal,3067.0,4.0,0,47700000.0,4.0
123,Shampura,2650.0,4.0,2,15000000.0,4.0
124,Devanahalli,1282.0,2.0,2,6852000.0,3.0
125,Kadugodi,1050.0,2.0,1,3400000.0,2.0
126,LB Shastri Nagar,1600.0,3.0,2,6500000.0,3.0
127,Vajarahalli,945.0,2.0,1,5400000.0,2.0
128,Hormavu,1500.0,2.0,1,7800000.0,2.0
129,Vishwapriya Layout,950.0,7.0,0,11500000.0,7.0
130,Peenya,1870.0,3.0,3,11000000.0,3.0
131,Sarjapur,1600.0,3.0,1,7500000.0,3.0
132,Electronic City,880.0,1.0,1,1650000.0,2.0
133,Ramaswamy Palya - Kammanahalli Main Road,1200.0,4.0,0,21000000.0,4.0
134,Kudlu Gate,1535.0,3.0,2,8300000.0,3.0
135,Kanakpura Road,950.0,2.0,1,5700000.0,2.0
136,Devanahalli,1360.0,2.0,1,6500000.0,2.0
137,8th Phase JP Nagar,1042.0,2.0,0,5400500.0,2.0
138,Bommasandra Industrial Area,1280.0,3.0,1,5040000.0,3.0
139,Chandra Layout,1260.0,2.0,2,8505000.0,3.0
140,Hennur Road,5000.0,8.0,1,25000000.0,8.0
141,Yelahanka,3050.0,5.0,1,21300000.0,5.0
142,Kasavanhalli,1563.05,3.0,1,10500000.0,3.0
143,ISRO Layout,1000.0,2.0,1,6000000.0,2.0
144,Anandapura,1167.0,2.0,1,4376000.0,2.0
145,Vishveshwarya Layout,4000.0,7.0,2,22500000.0,7.0
146,Kothanur,1828.0,3.0,1,11000000.0,3.0
147,Kengeri Satellite Town,890.0,2.0,1,3500000.0,2.0
148,Basavanapura,1612.0,3.0,3,4674000.0,3.0
149,Dinnur,1034.0,5.0,1,18500000.0,6.0
150,Mysore Road,1710.0,4.0,2,9131000.0,3.0
151,Kannamangala,957.0,2.0,1,5800000.0,2.0
152,Devarachikkanahalli,1250.0,2.0,3,4400000.0,3.0
153,Sanjeevini Nagar,2795.0,4.0,1,23500000.0,3.0
154,Hulimavu,1125.0,2.0,2,5000000.0,2.0
155,Electronic City Phase II,1020.0,2.0,1,3060000.0,2.0
156,Kalena Agrahara,1200.0,2.0,2,5000000.0,2.0
157,Thanisandra,1735.0,3.0,3,13500000.0,3.0
158,Thanisandra,2050.0,3.0,1,14500000.0,3.0
159,Mahalakshmi Layout,3750.0,4.0,0,76000000.0,4.0
160,Yarandahalli,1350.0,2.0,3,4800000.0,3.0
161,Hosa Road,1063.0,2.0,1,3200000.0,2.0
162,Keshava Nagar,1904.0,3.0,1,15000000.0,3.0
163,Whitefield,4200.0,4.0,2,42000000.0,4.0
164,RMV Extension,2000.0,3.0,1,17500000.0,3.0
165,Sarjapur,1145.0,2.0,0,4349000.0,2.0
166,Tejaswini Nagar,1425.0,2.0,2,7500000.0,3.0
167,Electronic City,1500.0,2.0,1,6450000.0,3.0
168,Electronic City,1060.0,2.0,1,6000000.0,2.0
169,Jai Bheema Nagar,1470.0,2.0,2,7000000.0,3.0
170,Kothnur Narayanapura,1300.0,6.0,0,9900000.0,6.0
171,Attibele,450.0,1.0,1,1100000.0,1.0
172,Electronic City,1152.0,2.0,1,6450000.0,2.0
173,Electronic City,1350.0,2.0,1,5600000.0,3.0
174,CV Raman Nagar,1550.0,3.0,3,6500000.0,3.0
175,CHIKKATIRUPATHI,1500.0,3.0,2,10000000.0,3.0
176,Kumaraswami Layout,600.0,3.0,2,8500000.0,5.0
177,Nagavara,400.0,1.0,0,1400000.0,1.0
178,Malleshwaram,705.0,1.0,2,6700000.0,1.0
179,Electronic City,770.0,1.0,1,3600000.0,2.0
180,Hulimavu,1242.0,2.0,3,5100000.0,2.0
181,Hebbal Kempapura,1700.0,3.0,2,15500000.0,3.0
182,Thanisandra,2144.0,3.0,2,14500000.0,3.0
183,Vijayanagar,1704.0,3.0,2,11000000.0,3.0
184,Electronic City,1070.0,2.0,1,5200000.0,2.0
185,8th block Koramangala,1846.0,3.0,2,30000000.0,3.0
186,Jakkuru Layout,1340.0,2.0,2,5570000.0,2.0
187,Electronic City,1025.0,2.0,1,4600000.0,2.0
188,KR Puram,1015.0,2.0,0,5680000.0,2.0
189,Marathahalli,1200.0,2.0,2,5200000.0,2.0
190,Kanakpura Road,2250.0,4.0,1,11000000.0,4.0
191,Pattandur Agrahara,1550.0,2.0,3,8000000.0,3.0
192,Bellandur,1200.0,5.0,1,32500000.0,4.0
193,Ejipura,1800.0,7.0,1,25000000.0,7.0
194,Marathahalli,1200.0,2.0,2,6000000.0,2.0
195,Yelahanka,1327.0,2.0,2,9800000.0,2.0
196,Kothanur,1186.0,2.0,2,5800000.0,2.0
197,MS Pallya,1783.0,3.0,1,11500000.0,3.0
198,HSR Layout,1400.0,3.0,2,5600000.0,3.0
199,Nagasandra,980.0,2.0,1,4800000.0,2.0
200,EPIP Zone,1285.0,2.0,2,8200000.0,2.0
201,Langford Town,912.0,2.0,1,7000000.0,3.0
202,Whitefield,1225.0,2.0,2,4760000.0,2.0
203,Whitefield,1075.0,2.0,1,5300000.0,2.0
204,Kadugodi,1260.0,2.0,2,5400000.0,3.0
205,Yelahanka,1282.0,2.0,2,4870000.0,3.0
206,Kogilu,1909.0,3.0,2,8800000.0,3.0
207,Panathur,1359.0,2.0,1,8700000.0,2.0
208,Nagondanahalli,1207.0,2.0,2,4350000.0,2.0
209,Padmanabhanagar,1736.0,6.0,0,19000000.0,4.0
210,1st Block Jayanagar,2850.0,4.0,1,42800000.0,4.0
211,Kammasandra,1595.0,3.0,2,6500000.0,3.0
212,"Off Sarjapur Road,",1798.0,3.0,2,8900000.0,3.0
213,Electronics City Phase 1,1475.0,3.0,2,7829000.000000001,3.0
214,Tala Cauvery Layout,1580.0,3.0,3,10000000.0,3.0
215,Dasarahalli,1295.0,2.0,1,6500000.0,2.0
216,Magadi Road,3600.0,6.0,0,14100000.0,6.0
217,Electronic City,589.0,1.0,1,2700000.0,1.0
218,Ngef Layout,1415.0,3.0,3,7800000.0,3.0
219,Sarjapur  Road,1787.0,3.0,2,9829000.0,3.0
220,Sarjapur  Road,1787.0,3.0,2,12500000.0,3.0
221,Koramangala,1475.0,2.0,3,9000000.0,3.0
222,"Lakshminarayanapura, Electronic City Phase 2",2000.0,4.0,1,7550000.0,4.0
223,Sarjapur  Road,984.0,2.0,1,4428000.0,2.0
224,Devanahalli,1520.0,2.6926096474673513,1,7481999.999999999,3.0
225,Muthurayya Swamy Layout,2405.0,4.0,2,26000000.0,3.0
226,7th Phase JP Nagar,1080.0,2.0,2,7200000.0,2.0
227,Shantiniketan Layout,1500.0,2.0,1,11500000.0,2.0
